Country,Popularity,Title,Artist,Release_date,danceability,energy,tempo,release_date,year,month
USA,252.00000000000003,mamacita,Black Eyed Peas - Ozuna - J. Rey Soul,2020-04-10,0.894,0.635,105.013,2020-04-10,2020,4
USA,20382,mood swings,Pop Smoke - Lil Tjay,2020-07-03,0.48,0.602,179.798,2020-07-03,2020,7
USA,108.8,turn up,PARTYNEXTDOOR,2020-03-27,0.443,0.519,71.682,2020-03-27,2020,3
USA,103.7,the news,PARTYNEXTDOOR,2020-03-26,0.74,0.465,116.74,2020-03-26,2020,3
USA,84,me gusta,Shakira - Anuel AA,2020-01-13,0.775,0.696,92.007,2020-01-13,2020,1
USA,1927.8,darkness,Eminem,2020-01-17,0.6709999999999999,0.623,75.055,2020-01-17,2020,1
USA,546.9999999999999,diamonds,Sam Smith,2020-10-30,0.637,0.6659999999999999,104.02,2020-10-30,2020,10
USA,120,ferrari,Anuel AA - Lil Wayne,2020-05-29,0.8420000000000001,0.732,140.07399999999998,2020-05-29,2020,5
USA,1486.45,desires,Drake - Future,2020-05-01,0.812,0.506,145.07399999999996,2020-05-01,2020,5
USA,195.8,euphoria,Don Toliver - Kaash Paige - Travis Scott,2020-03-13,0.584,0.306,70.02199999999999,2020-03-13,2020,3
USA,34040.89999999997,life is good,Future - Drake,2020-01-10,0.6759999999999999,0.609,142.037,2020-01-10,2020,1
USA,269.6,blueberry eyes,MAX - SUGA,2020-09-18,0.746,0.611,149.967,2020-09-18,2020,9
USA,307.7,harder than my demons,Big Sean,2020-09-04,0.736,0.735,107.029,2020-09-04,2020,9
USA,726.4000000000003,alice,Lady Gaga,2020-05-29,0.723,0.88,123.036,2020-05-29,2020,5
USA,250.75,one too many,Keith Urban - P!nk,2020-09-18,0.6970000000000001,0.535,82.959,2020-09-18,2020,9
USA,1898.8,perfect,Logic,2020-07-24,0.769,0.8290000000000001,159.94299999999996,2020-07-24,2020,7
USA,3024.4,34+35,Ariana Grande,2020-10-30,0.83,0.585,109.978,2020-10-30,2020,10
USA,208.4,if you’re too shy  - edit,The 1975,2020-04-23,0.6509999999999999,0.8059999999999999,125.641,2020-04-23,2020,4
USA,479.70000000000016,fake,Lauv - Conan Gray,2020-10-13,0.703,0.657,82.96,2020-10-13,2020,10
USA,648.15,skybox,Gunna,2020-05-22,0.78,0.635,140.997,2020-05-22,2020,5
USA,256.6,0.00,Childish Gambino,2020-03-22,0.174,0.0466,116.713,2020-03-22,2020,3
USA,11383.750000000002,righteous,Juice WRLD,2020-07-10,0.706,0.625,142.94799999999995,2020-07-10,2020,7
USA,471.4,intro,21 Savage - Metro Boomin,2020-10-02,0.4270000000000001,0.473,80.972,2020-10-02,2020,10
USA,208.7,5 hooks,Logic,2020-07-24,0.552,0.861,86.639,2020-07-24,2020,7
USA,464.45,e.t.a.,Justin Bieber,2020-02-14,0.465,0.494,127.298,2020-02-14,2020,2
USA,622.15,grace,Lil Baby - 42 Dugg,2020-02-28,0.8170000000000001,0.513,123.029,2020-02-28,2020,2
USA,1047.4,someone said,Swae Lee,2020-02-28,0.904,0.4920000000000001,149.982,2020-02-28,2020,2
USA,456.8,stunnin,Curtis Waters - Harm Franklin,2020-10-09,0.885,0.685,99.954,2020-10-09,2020,10
USA,669.1500000000002,hit my line,Logic,2020-07-24,0.62,0.7859999999999999,164.05700000000004,2020-07-24,2020,7
USA,1335.9,safety net,Ariana Grande - Ty Dolla $ign,2020-10-30,0.552,0.599,161.884,2020-10-30,2020,10
USA,780.6,yell oh,Trippie Redd - Young Thug,2020-02-07,0.8420000000000001,0.578,74.49600000000002,2020-02-07,2020,2
USA,4,wild life,OneRepublic,2020-09-25,0.498,0.764,115.975,2020-09-25,2020,9
USA,1322.8,shut up,Ariana Grande,2020-10-30,0.499,0.462,127.698,2020-10-30,2020,10
USA,1098.8,lotus,Lil Uzi Vert,2020-03-13,0.802,0.748,150.063,2020-03-13,2020,3
USA,3267.7499999999995,pick up,DaBaby - Quavo,2020-04-17,0.915,0.612,129.93,2020-04-17,2020,4
USA,1720.25,i can see,Mac Miller,2020-01-17,0.6990000000000001,0.503,114.86,2020-01-17,2020,1
USA,12759.65,go stupid,Polo G - Stunna 4 Vegas - NLE Choppa - Mike WiLL Made-It,2020-02-14,0.92,0.833,141.034,2020-02-14,2020,2
USA,131.2,i hate everybody,Halsey,2020-01-17,0.679,0.197,79.50399999999998,2020-01-17,2020,1
USA,3299.7,i’m ready,Sam Smith - Demi Lovato,2020-04-16,0.501,0.674,155.05100000000004,2020-04-16,2020,4
USA,20807.25,flex,Polo G - Juice WRLD,2020-05-15,0.752,0.6729999999999999,164.009,2020-05-15,2020,5
USA,57.6,hell and high water,Major Lazer - Alessia Cara,2020-10-23,0.474,0.772,169.893,2020-10-23,2020,10
USA,240.2,we should,Lil Baby - Young Thug,2020-02-28,0.562,0.604,83.355,2020-02-28,2020,2
USA,350.35,always forever,Bryson Tiller,2020-10-02,0.605,0.489,147.341,2020-10-02,2020,10
USA,433.55,who needs love,Tory Lanez,2020-04-03,0.757,0.6729999999999999,101.987,2020-04-03,2020,4
USA,205.4,good in bed,Dua Lipa,2020-03-27,0.68,0.701,94.06,2020-03-27,2020,3
USA,492.9,talk about it,DaBaby,2020-04-17,0.951,0.638,123.948,2020-04-17,2020,4
USA,3399.700000000001,deep end freestyle,Sleepy Hallow - Fousheé,2020-04-03,0.8759999999999999,0.479,133.858,2020-04-03,2020,4
USA,7508.099999999998,selfish,Madison Beer,2020-02-14,0.378,0.461,75.363,2020-02-14,2020,2
USA,742.9,savage love,Jawsh 685 - Jason Derulo - BTS,2020-10-02,0.758,0.598,149.836,2020-10-02,2020,10
USA,1372.95,25/8,Bad Bunny,2020-02-28,0.7609999999999999,0.732,151.982,2020-02-28,2020,2
USA,656.4,china,Anuel AA - Daddy Yankee - KAROL G - Ozuna - J Balvin,2020-05-29,0.7859999999999999,0.8079999999999999,105.029,2020-05-29,2020,5
USA,36.8,hawái,Maluma,2020-07-29,0.787,0.728,180.06599999999997,2020-07-29,2020,7
USA,2809.25,trollz,6ix9ine - Nicki Minaj,2020-06-12,0.7440000000000001,0.422,180.00599999999997,2020-06-12,2020,6
USA,1845.45,your man,Joji,2020-09-24,0.785,0.818,117.98,2020-09-24,2020,9
USA,815.6,tick tock,Joji,2020-09-24,0.7809999999999999,0.613,80.53,2020-09-24,2020,9
USA,4477.3,mirrorball,Taylor Swift,2020-07-24,0.5529999999999999,0.413,110.107,2020-07-24,2020,7
USA,670.6,bad con nicky,Bad Bunny - Nicky Jam,2020-05-10,0.59,0.7290000000000001,93.094,2020-05-10,2020,5
USA,519.8,confirmation,Justin Bieber,2020-02-14,0.438,0.315,190.064,2020-02-14,2020,2
USA,533.05,kiss kiss,Machine Gun Kelly,2020-09-25,0.569,0.85,162.061,2020-09-25,2020,9
USA,178.45,alfred - outro,Eminem,2020-01-17,0.476,0.237,106.972,2020-01-17,2020,1
USA,687,how you like that,BLACKPINK,2020-10-02,0.812,0.8,130.036,2020-10-02,2020,10
USA,62578.49999999996,blueberry faygo,Lil Mosey,2020-02-06,0.774,0.5539999999999999,99.034,2020-02-06,2020,2
USA,1377.05,sleepy hollow,Trippie Redd,2020-10-07,0.735,0.662,87.999,2020-10-07,2020,10
USA,14501.700000000004,gooba,6ix9ine,2020-05-08,0.611,0.688,178.46200000000005,2020-05-08,2020,5
USA,457.35,deep reverence,Big Sean - Nipsey Hussle,2020-09-04,0.631,0.848,91.879,2020-09-04,2020,9
USA,17526.09999999999,in your eyes,The Weeknd,2020-03-20,0.667,0.7190000000000001,100.021,2020-03-20,2020,3
USA,959.9,no shame,5 Seconds of Summer,2020-02-05,0.5760000000000001,0.815,90.972,2020-02-05,2020,2
USA,6212.7,august,Taylor Swift,2020-07-24,0.532,0.623,89.93700000000003,2020-07-24,2020,7
USA,137.3,azul,J Balvin,2020-03-19,0.843,0.836,94.018,2020-03-19,2020,3
USA,422.1,crazy over you,BLACKPINK,2020-10-02,0.805,0.66,114.951,2020-10-02,2020,10
USA,694.4,steppin on niggas,21 Savage - Metro Boomin,2020-10-02,0.8490000000000001,0.635,89.484,2020-10-02,2020,10
USA,635.1,still learning,Halsey,2020-01-17,0.708,0.6609999999999999,102.046,2020-01-17,2020,1
USA,190.05,black and white,Niall Horan,2020-03-13,0.443,0.5820000000000001,147.589,2020-03-13,2020,3
USA,2135.5,bigger than life,Lil Uzi Vert,2020-03-06,0.7759999999999999,0.752,140.013,2020-03-06,2020,3
USA,808.15,sanctuary,Joji,2020-09-24,0.552,0.638,167.834,2020-09-24,2020,9
USA,22.4,honsool,Agust D,2020-05-22,0.478,0.574,71.984,2020-05-22,2020,5
USA,24005.39999999999,we paid,Lil Baby - 42 Dugg,2020-05-01,0.926,0.542,135.14,2020-05-01,2020,5
USA,3445.700000000001,find my way,DaBaby,2020-04-01,0.836,0.624,103,2020-04-01,2020,4
USA,396.6,instant destiny,Tame Impala,2020-02-14,0.381,0.8290000000000001,165.935,2020-02-14,2020,2
USA,336.25,funeral,Lil Wayne,2020-01-31,0.5770000000000001,0.624,136.966,2020-01-31,2020,1
USA,1202.5500000000004,jangueo,Anuel AA - Tego Calderon,2020-05-29,0.863,0.728,93.035,2020-05-29,2020,5
USA,8120.5499999999975,broke in a minute,Tory Lanez,2020-04-10,0.929,0.7,120.009,2020-04-10,2020,4
USA,2253.05,aim for the moon,Pop Smoke - Quavo,2020-07-03,0.713,0.605,142.025,2020-07-03,2020,7
USA,402.55,sine from above,Lady Gaga - Elton John,2020-05-29,0.642,0.792,122.965,2020-05-29,2020,5
USA,258.45,guess what,Russ - Rick Ross,2020-01-31,0.738,0.785,92.008,2020-01-31,2020,1
USA,7657.150000000002,si veo a tu mamá,Bad Bunny,2020-02-28,0.9,0.603,129.928,2020-02-28,2020,2
USA,297.2,love again,Dua Lipa,2020-03-27,0.659,0.667,115.982,2020-03-27,2020,3
USA,555.5,tycoon,Future,2020-04-01,0.858,0.598,157.03,2020-04-01,2020,4
USA,288.25,status,NAV - Lil Uzi Vert,2020-05-08,0.951,0.72,134.033,2020-05-08,2020,5
USA,625.8,<3,Bad Bunny,2020-02-28,0.631,0.665,80.35300000000002,2020-02-28,2020,2
USA,642.4,mahogany,Lil Wayne,2020-01-31,0.466,0.608,79.48,2020-01-31,2020,1
USA,468.55,00:00,BTS,2020-02-21,0.5660000000000001,0.5479999999999999,157.999,2020-02-21,2020,2
USA,639.65,cómo se siente - remix,Jhay Cortez - Bad Bunny,2020-05-09,0.807,0.606,92.988,2020-05-09,2020,5
USA,3363.5,hit different,SZA - The Neptunes - Pharrell Williams - Ty Dolla $ign,2020-09-04,0.679,0.516,120.074,2020-09-04,2020,9
USA,339.65,hitek tek,Future,2020-05-15,0.873,0.591,150.05700000000004,2020-05-15,2020,5
USA,8153.750000000001,whats poppin,Jack Harlow,2020-01-21,0.923,0.604,145.062,2020-01-21,2020,1
USA,845.1499999999999,shake the room,Pop Smoke - Quavo,2020-02-07,0.733,0.684,142.04,2020-02-07,2020,2
USA,26.4,slow grenade,Ellie Goulding - Lauv,2020-06-30,0.758,0.562,142.035,2020-06-30,2020,6
USA,881.6999999999997,get me,Justin Bieber - Kehlani,2020-02-14,0.8320000000000001,0.508,109.352,2020-02-14,2020,2
USA,963.55,moon relate,Lil Uzi Vert,2020-03-13,0.867,0.768,102.021,2020-03-13,2020,3
USA,841.1999999999997,better,ZAYN,2020-09-25,0.637,0.418,84.295,2020-09-25,2020,9
USA,5643.199999999999,blastoff,Internet Money - Juice WRLD - Trippie Redd,2020-08-28,0.7609999999999999,0.517,147.912,2020-08-28,2020,8
USA,361.65,love to hate me,BLACKPINK,2020-10-02,0.68,0.6559999999999999,162.17700000000005,2020-10-02,2020,10
USA,1323.65,move ya hips,A$AP Ferg - Nicki Minaj - MadeinTYO,2020-07-30,0.809,0.68,143.988,2020-07-30,2020,7
USA,33.6,negro,J Balvin,2020-03-19,0.795,0.911,164.081,2020-03-19,2020,3
USA,251.55,im ready for you,Bryson Tiller,2020-10-02,0.741,0.64,179.095,2020-10-02,2020,10
USA,4313.699999999999,physical,Dua Lipa,2020-01-30,0.647,0.8440000000000001,146.96200000000005,2020-01-30,2020,1
USA,196,cut you off,Selena Gomez,2020-01-10,0.855,0.294,139.745,2020-01-10,2020,1
USA,292.6500000000001,do the most,Tory Lanez,2020-03-27,0.8740000000000001,0.635,102.022,2020-03-27,2020,3
USA,472.35,wildflower,5 Seconds of Summer,2020-03-27,0.643,0.768,108.992,2020-03-27,2020,3
USA,61.6,jesus christ 2005 god bless america,The 1975,2020-04-03,0.541,0.287,78.947,2020-04-03,2020,4
USA,1709.75,king of my city,A Boogie Wit da Hoodie,2020-01-31,0.48,0.679,81.186,2020-01-31,2020,1
USA,15176.05,you broke me first,Tate McRae,2020-04-17,0.642,0.374,124.099,2020-04-17,2020,4
USA,1957,daisies,Katy Perry,2020-05-15,0.639,0.546,122.179,2020-05-15,2020,5
USA,1985.3,wunna,Gunna,2020-05-22,0.89,0.455,148.009,2020-05-22,2020,5
USA,22.4,lay your head on me,Major Lazer - Marcus Mumford - Diplo,2020-03-26,0.6579999999999999,0.765,119.974,2020-03-26,2020,3
USA,3138.55,hasta que dios diga,Anuel AA - Bad Bunny,2020-05-29,0.691,0.765,174.021,2020-05-29,2020,5
USA,44041.95000000001,death bed,Powfu - beabadoobee,2020-02-08,0.726,0.431,144.026,2020-02-08,2020,2
USA,52,if you’re too shy,The 1975,2020-04-23,0.639,0.63,125.648,2020-04-23,2020,4
USA,1319.5,stupid again,Tory Lanez,2020-04-10,0.775,0.823,120.059,2020-04-10,2020,4
USA,5019.799999999998,what if i told you that i love you,Ali Gatie,2020-01-24,0.605,0.365,84.62799999999999,2020-01-24,2020,1
USA,12401.65,hate the other side,Juice WRLD - Marshmello - The Kid LAROI - Polo G,2020-07-10,0.701,0.65,90.00299999999999,2020-07-10,2020,7
USA,16797.45,you should be sad,Halsey,2020-01-17,0.591,0.585,110.94,2020-01-17,2020,1
USA,331.55,rodeo - feat. nas,Lil Nas X - Nas,2020-01-27,0.65,0.637,140.115,2020-01-27,2020,1
USA,1429.5,just like magic,Ariana Grande,2020-10-30,0.7190000000000001,0.607,128.006,2020-10-30,2020,10
USA,632.1500000000002,canción con yandel,Yandel - Bad Bunny,2020-05-10,0.75,0.741,79.968,2020-05-10,2020,5
USA,3983.05,you got it,Vedo,2020-03-27,0.774,0.376,122.089,2020-03-27,2020,3
USA,448.8,tunnel vision,Pop Smoke,2020-07-03,0.718,0.66,142.879,2020-07-03,2020,7
USA,481.2,keii,Anuel AA,2020-02-07,0.708,0.797,88.015,2020-02-07,2020,2
USA,2038.05,you gon’ learn,"Eminem - Royce Da 5'9"" - White Gold",2020-01-17,0.68,0.82,140.033,2020-01-17,2020,1
USA,707.3,vulnerable,Selena Gomez,2020-01-10,0.695,0.573,100.031,2020-01-10,2020,1
USA,4155.4,need it,Migos - YoungBoy Never Broke Again,2020-05-22,0.852,0.745,148.007,2020-05-22,2020,5
USA,242.55,feigning,Gunna,2020-05-22,0.7929999999999999,0.536,78.006,2020-05-22,2020,5
USA,603.3,alfred - interlude,Eminem,2020-01-17,0.429,0.231,74.545,2020-01-17,2020,1
USA,1272.1,everybody,Mac Miller,2020-01-17,0.875,0.599,152.061,2020-01-17,2020,1
USA,75.2,falling for you with justin bieber,Jaden - Justin Bieber,2020-08-28,0.69,0.541,130.024,2020-08-28,2020,8
USA,32878.29999999999,whats poppin  - remix,Jack Harlow - Tory Lanez - DaBaby - Lil Wayne,2020-06-24,0.904,0.723,145.013,2020-06-24,2020,6
USA,1682.5000000000002,ok not to be ok,Marshmello - Demi Lovato,2020-09-10,0.743,0.8370000000000001,103.072,2020-09-10,2020,9
USA,1075.45,brand new draco,21 Savage - Metro Boomin,2020-10-02,0.6970000000000001,0.7090000000000001,155.023,2020-10-02,2020,10
USA,464.80000000000007,angels & demons,jxdn,2020-05-19,0.5539999999999999,0.8,115.056,2020-05-19,2020,5
USA,2193.2,so done,The Kid LAROI,2020-10-23,0.7190000000000001,0.598,142.592,2020-10-23,2020,10
USA,189.15,recap,NAV - Don Toliver,2020-05-08,0.838,0.609,127.963,2020-05-08,2020,5
USA,909.9,once a day,Mac Miller,2020-01-17,0.762,0.054000000000000006,96.838,2020-01-17,2020,1
USA,2654.95,epiphany,Taylor Swift,2020-07-24,0.354,0.267,94.219,2020-07-24,2020,7
USA,6245.650000000002,the last great american dynasty,Taylor Swift,2020-07-24,0.6859999999999999,0.662,147.922,2020-07-24,2020,7
USA,342.4,change your life,Kehlani - Jhené Aiko,2020-05-08,0.665,0.7490000000000001,146.886,2020-05-08,2020,5
USA,88.39999999999998,never worn white,Katy Perry,2020-03-05,0.544,0.353,138.059,2020-03-05,2020,3
USA,1929,motive,Ariana Grande - Doja Cat,2020-10-30,0.789,0.742,116.965,2020-10-30,2020,10
USA,825.55,can i,Kehlani,2020-05-08,0.574,0.7909999999999999,119.537,2020-05-08,2020,5
USA,823.2,running over,Justin Bieber - Lil Dicky,2020-02-14,0.774,0.603,149.982,2020-02-14,2020,2
